PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,sample,silicoDArT_cluster,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,best_k
-0.33697217610918484,-17.571210673278866,-10.370259477135924,-11.461246625486062,-8.428656001452689,3.9218294722461184,-5.349175863729248,-3.5731491229819343,1.707855173511358,-0.7455044548632868,TSs282,0,0,1,0,4,4,5,2
-9.20279196545511,17.205909865446262,-1.8439510152800447,-7.284093976653139,-0.12099800273410163,15.399341074992789,4.609382915377113,0.4498020403872573,0.29773352421885685,11.216341841898728,TSs56A,0,0,0,3,1,3,0,2
-5.483038159671161,-11.35811161400407,1.6405176040605478,1.2443258661355385,13.014524610485893,3.8375622734863466,1.5703950635787767,0.9033659757981236,4.700471687369932,-2.8112630526839686,TSs296,0,0,1,0,4,4,4,2
-6.16351350354052,1.2493482235873221,-0.6639452586236313,-7.073541321383335,-1.1195127341757753,-6.525621205793315,-4.356848286151406,15.52313951589949,-11.408158112896011,-5.92581065643485,TSs311,0,0,0,3,2,4,5,2
32.738314726419,-0.48014121819362915,3.4233770763502265,0.5659760701778458,-1.03454900946639,8.760729394741812,1.5320494191090872,4.313510361068783,-3.201908059069403,-5.177109305561301,TSs358,1,1,2,1,3,1,1,2
-11.28171384943008,13.088604888794789,11.217414958671233,-8.001699963450847,-5.174690683671962,-2.4233485291584036,9.562494767205163,-8.374800129541853,-2.7360576391025844,-5.331395312354416,TSs82,0,0,0,3,1,3,0,2
-5.758278482364889,5.077710773126876,5.203938022870637,0.06809763204053092,-11.280878679721717,2.2331028333759453,5.162960949515208,2.939881365118107,-1.799115429335769,-6.245655708551354,TSs15,0,0,0,3,1,3,2,2
-6.336315229828293,-14.892512484900452,2.1903771818975586,-1.9975351349501267,-2.9357632791506725,-4.764067326073778,-0.06205331841270866,8.686567305533426,-0.6929884471187314,-1.0994333627834727,TSs3,0,0,1,0,4,4,5,2
-5.961444287363253,-11.657639278517223,4.245471692616339,-6.5236997102362775,-1.6818849952952666,-3.7900551706212204,4.9439860561678275,-7.00036446328563,-6.054961511818557,0.7054896175040393,TSs4,0,0,1,0,4,4,5,2
-3.5572970473386447,1.6336170392460263,-1.4082361868941897,5.972456903429678,-2.7100136385212026,-4.807213033368786,2.5534723348579424,0.19316241495236813,2.625256701309962,7.851463591440037,TSs331,0,0,0,2,0,2,2,2
-9.540298291678875,-5.463564260889457,-0.49036907847123595,-2.863670505838668,-2.286291194615933,12.295575851409534,-15.002779423739733,2.4111498913805867,-5.831023696593563,5.170085886874989,TSs314B,0,0,1,0,4,4,5,2
-11.418304046355521,3.667541688459576,4.337734751826656,0.7499286249080956,1.5028923199117206,7.8981802613145895,10.920193947915154,-0.6105959813601699,3.4995063264205775,2.014295343485808,TSs333,0,0,0,3,1,3,0,2
-5.449349990920906,-6.762909640766768,14.68313884704941,-3.322996122223979,8.001017319802898,-7.560502672561135,7.6863549940867815,-0.9880801257877625,-0.8701004229361962,-0.5019049906975229,TSs7,0,0,1,0,4,4,4,2
2.293967948303334,11.264593733564517,-19.15372654484125,-12.47884785435635,9.797150774050868,-6.867320358901816,-0.22885121522946203,-0.07948823679309402,7.700678969003499,-0.9864009167592395,TSs38,0,0,0,2,2,5,6,2
3.9924862286563965,2.6421260963303967,0.39713155651340326,7.995295446731946,-4.283224394163035,-9.553686171340553,-2.2549987584077273,0.9820701611275752,5.56669049763875,2.667414706545224,TSs10,0,0,0,2,0,2,2,2
2.4794483899261577,-0.8401515546845009,-5.704733640719255,8.023953374194187,1.9075460058550555,-4.88805650178288,5.373278945230699,-3.583497788092008,-2.769826975723585,10.9263507706587,TSs48,0,0,0,2,2,2,3,2
